"user_id","dt","ad_network"
"85778ff8916bb899","2021-02-01","FB"
"60876ad645632c51","2021-02-01","FB"
"f5f8d748a39429af","2021-02-01","FB"
"3613248c518d4b93","2021-02-01","FB"
"51c34c65313dbcb2","2021-02-01","FB"
"8293561239f0dc5d","2021-02-01","FB"
"250814f159a44c60","2021-02-01","FB"
"297dcd9708c840db","2021-02-01","FB"
"abf8325b7fa6d71a","2021-02-01","FB"
"c2cb0c4818b53f9a","2021-02-01","FB"
"95695f7d977d5d9f","2021-02-01","FB"
"5c9a68bf42307d66","2021-02-01","FB"
"b3245d4b5d79a7f7","2021-02-01","FB"
"33a881ad781bdfd4","2021-02-01","FB"
"d494828a02f938af","2021-02-01","FB"
"f3c28080a541f866","2021-02-01","FB"
"9c87a13d25885a13","2021-02-01","FB"
"6adcda97af7509a2","2021-02-01","FB"
"17d61ff0c7b5c4c7","2021-02-01","FB"
"545947c17a877ac3","2021-02-01","FB"
"8693214b563b1b92","2021-02-01","FB"
"32a51762930053f0","2021-02-01","FB"
"af3611d7546ab241","2021-02-01","FB"
"b50c81cbdc5795a6","2021-02-01","FB"
"7c23f234f6955c26","2021-02-01","FB"
"07420c47556f3a32","2021-02-01","FB"
"12b512cdcd8d9dd4","2021-02-01","FB"
"7f1b000237a9a953","2021-02-01","FB"
"2ba049f657da9cb4","2021-02-01","FB"
"58df62c23dd6d54d","2021-02-01","FB"
"fc464dca7f831360","2021-02-01","FB"
"c4d1599df653f2f7","2021-02-01","FB"
"353bdad1fc8a0f24","2021-02-01","FB"
"7a278923982c02c1","2021-02-01","FB"
"3957c30d366c3c6a","2021-02-01","FB"
"bcf47dbb83c2c48d","2021-02-01","FB"
"48f362fd53184afb","2021-02-01","FB"
"c20c0711284372f4","2021-02-01","FB"
"9bc6730c837c7aa1","2021-02-01","FB"
"8f2cb8a3480b1d1f","2021-02-01","FB"
"5b1130c1488ff99a","2021-02-01","FB"
"65bd2c1a9ccdd79c","2021-02-01","FB"
"c856d6bc8d5dbbb2","2021-02-01","FB"
"f8aa0319c01a551f","2021-02-01","FB"
"458c22c591c2fd93","2021-02-01","FB"
"a664626835437568","2021-02-01","FB"
"a276d3dfaa604882","2021-02-01","FB"
"60cda3c9081d8bac","2021-02-01","FB"
"98816a3265b4c227","2021-02-01","FB"
"967c224d71ba9c7b","2021-02-01","FB"
"11b2fb557dd04acb","2021-02-01","FB"
"39c723829a972a39","2021-02-01","FB"
"059026a575b2cd06","2021-02-01","FB"
"cf3dc7164875dad0","2021-02-01","FB"
"099051bfbbda227d","2021-02-01","FB"
"223114077a8628dd","2021-02-01","FB"
"b95b466f0fc080c9","2021-02-01","FB"
"9643913d3a88afa7","2021-02-01","FB"
"9944a9055c87d7f5","2021-02-01","FB"
"fd0a98b412662ba5","2021-02-01","FB"
"52da4272148208db","2021-02-01","FB"
"447b8c2826d17089","2021-02-01","FB"
"0a5cdf02622f5647","2021-02-01","FB"
"fc9595142f2bf0d4","2021-02-01","FB"
"209cbc76d5681c73","2021-02-01","FB"
"1a083dfbf44465c6","2021-02-01","FB"
"5df1bfca20f1abc4","2021-02-01","FB"
"14d63671b6cc5c7b","2021-02-01","FB"
"86b9a0567328d019","2021-02-01","FB"
"6d87df82a42c0a4a","2021-02-01","FB"
"7119c44cddc6dd90","2021-02-01","FB"
"1d30dbfd3861f2b0","2021-02-01","FB"
"342420438d3f72f7","2021-02-01","FB"
"f70bdf8294d83275","2021-02-01","FB"
"c75b9659c21a7942","2021-02-01","FB"
"d4b572125aa79403","2021-02-01","FB"
"cfc167baf7048c06","2021-02-01","FB"
"8126b1b4d1d7c569","2021-02-01","FB"
"5dc2b59384fa992c","2021-02-01","FB"
"1089cff7316f6233","2021-02-01","FB"
"b372cda5bbc51287","2021-02-01","FB"
"68dbff51909ab152","2021-02-01","FB"
"7f87d320a9b15b81","2021-02-01","FB"
"a05b97b04199c08d","2021-02-01","FB"
"67b103063d5c5cfa","2021-02-01","FB"
"cad8807f47241b47","2021-02-01","FB"
"cd71755b0cad9252","2021-02-01","FB"
"2dc9599b87cc8100","2021-02-01","FB"
"29a80801222858f6","2021-02-01","FB"
"d9bfc965c0698fdb","2021-02-01","FB"
"8cf3a63d624b3fa7","2021-02-01","FB"
"51112fb22b7c323f","2021-02-01","FB"
"b1882235a54b7f12","2021-02-01","FB"
"68c9dbdf5281acca","2021-02-01","FB"
"04ac248f75fb15d1","2021-02-01","FB"
"c7784a1711062d60","2021-02-01","FB"
"43c3fc7bda312f22","2021-02-01","FB"
"934577806d3ad4c0","2021-02-01","FB"
"92d856327fdc2365","2021-02-01","FB"
"f1689910aa581468","2021-02-01","FB"
"47629551621772a6","2021-02-01","FB"
"0b9c7df5c5b000ac","2021-02-01","FB"
"666439dc5f3598d9","2021-02-01","FB"
"1dd98803d817c949","2021-02-01","FB"
"f050d64cbfbfaa6d","2021-02-01","FB"
"89c05a785823d779","2021-02-01","FB"
"3844749209562903","2021-02-01","FB"
"b309d3bff62dd066","2021-02-01","FB"
"d0512a8990325118","2021-02-01","FB"
"038330ada9b7609f","2021-02-01","FB"
"bac6f60fc000d25f","2021-02-01","FB"
"06850507d44d70a3","2021-02-01","FB"
"9b8192dfa75b0744","2021-02-01","FB"
"f38b58190d4cac54","2021-02-01","FB"
"38c71a6354d4b33f","2021-02-01","FB"
"00af0454404f3c79","2021-02-01","FB"
"029fcfdd70d73f39","2021-02-01","FB"
"07671443411ac8f0","2021-02-01","FB"
"00bfb04162822c4d","2021-02-01","FB"
"88dbf659d9da1231","2021-02-01","FB"
"4abb16afbbd71049","2021-02-01","FB"
"c7aa21f806741251","2021-02-01","FB"
"fc0fd48705668b66","2021-02-01","FB"
"076ba2478c26a325","2021-02-01","FB"
"b98878886524501b","2021-02-01","FB"
"4c1bb650a5a02881","2021-02-01","FB"
"f0f5d25d9d799186","2021-02-01","FB"
"6927f09d1a702940","2021-02-01","FB"
"b64cd98af612889b","2021-02-01","FB"
"8269f61361657069","2021-02-01","FB"
"c34adfdad4507565","2021-02-01","FB"
"d4c74b17dd4d5861","2021-02-01","FB"
"ddac177975cd163a","2021-02-01","FB"
"24b37132bb02a52c","2021-02-01","FB"
"d43f09950c8d6b16","2021-02-01","FB"
"f2549fc7bdc154c6","2021-02-01","FB"
"95766228914fcfcd","2021-02-01","FB"
"0170cab5674d57b8","2021-02-01","FB"
"d2d99675502cc6ca","2021-02-01","FB"
"4c842d8072d40425","2021-02-01","FB"
"8c3a9bdf49a7dc58","2021-02-01","FB"
"224b03a53b818acb","2021-02-01","FB"
"63f415b4d66a20c7","2021-02-01","FB"
"8b7d04779669c132","2021-02-01","FB"
"4f6a0ad82dc63d10","2021-02-01","FB"
"c232685a77f363c5","2021-02-01","FB"
"aad54920cd66405b","2021-02-01","FB"
"4acf2c04b9034982","2021-02-01","FB"
"999c668a7f01b6af","2021-02-01","FB"
"7d22ac9aafc6207f","2021-02-01","FB"
"afa737f1a87ac147","2021-02-01","FB"
"3164df37492108c6","2021-02-01","FB"
"633bf4fb725b872d","2021-02-01","FB"
"2a33a0bf1a5ddcc7","2021-02-01","FB"
"da81f6a286265620","2021-02-01","FB"
"f8af0bc53b90093a","2021-02-01","FB"
"cd4929a292628b2b","2021-02-01","FB"
"d67a9984613c60b2","2021-02-01","FB"
"46418c82d4cf3a83","2021-02-01","FB"
"47281a307835f656","2021-02-01","FB"
"cc81822b74d3a9f4","2021-02-01","FB"
"d59702a5fcd9607a","2021-02-01","FB"
"839542b65704c897","2021-02-01","FB"
"66a6baf086d55d62","2021-02-01","FB"
"756b003f8441004c","2021-02-01","FB"
"04826b5215909ad6","2021-02-01","FB"
"b4f0cbf9d02f2d12","2021-02-01","FB"
"df0cfca65228f2a6","2021-02-01","FB"
"34c4c2903046cc40","2021-02-01","FB"
"a55b7919f6495740","2021-02-01","FB"
"2ab06d9ab3133445","2021-02-01","FB"
"021ac7f1d8f5b988","2021-02-01","FB"
"a563dcf45a8b3da3","2021-02-01","FB"
"25965919b5cf7773","2021-02-01","FB"
"15396fdc6ab400bd","2021-02-01","FB"
"1c34fa049858c9f8","2021-02-01","FB"
"07c55c12abbfa906","2021-02-01","FB"
"366302a6cf67bf72","2021-02-01","FB"
"8771dfc8fa98f335","2021-02-01","FB"
"b07987d0a5182b93","2021-02-01","FB"
"221391bb0155c5a6","2021-02-01","FB"
"8148349c7662f73d","2021-02-01","FB"
"a48b3822f1927a03","2021-02-01","FB"
"a680bc7430693d93","2021-02-01","FB"
"bb09a3cb00a0a27a","2021-02-01","FB"
"60d073386f9445ca","2021-02-01","FB"
"ac1701f6f475f8dd","2021-02-01","FB"
"55159d6d41cb768c","2021-02-01","FB"
"c359af5c09919f85","2021-02-01","FB"
"cf03522454b6a08d","2021-02-01","FB"
"14f2350439a340a1","2021-02-01","FB"
"8d6b4806b8acc6ad","2021-02-01","FB"
"1ca262ca9f5faf19","2021-02-01","FB"
"2250acc2f65ff171","2021-02-01","FB"
"d5ff69f589c2d46c","2021-02-01","FB"
"1f3ba2383650cc34","2021-02-01","FB"
"7cfbb0ad2d52db6a","2021-02-01","FB"
"6028783c920d8ccd","2021-02-01","FB"
"8938814bf35a27a4","2021-02-01","FB"
"b28fbb70958b0fb3","2021-02-01","FB"
"a2ff6565264b578f","2021-02-01","FB"
"5346c82f6dbc158b","2021-02-01","FB"
"11a0339c1ab418f4","2021-02-01","FB"
"8d43ac68bbfb7d42","2021-02-01","FB"
"315194fcd112bbbc","2021-02-01","FB"
"625fd5b70a2f2fa1","2021-02-01","FB"
"5ca4c787192a4723","2021-02-01","FB"
"00c9ffdd9d75cf92","2021-02-01","FB"
"f037d03cd0491d4b","2021-02-01","FB"
"1b109b228a3cc2a2","2021-02-01","FB"
"a4929b24b99c86b9","2021-02-01","FB"
"8b3cd93cd43d7103","2021-02-01","FB"
"53779d956d6698fd","2021-02-01","FB"
"ca720fd65a1d701d","2021-02-01","FB"
"3030ad5f49817578","2021-02-01","FB"
"6b228faa807b5a75","2021-02-01","FB"
"b38c05a5f5f31cf2","2021-02-01","FB"
"63ca97fab16234af","2021-02-01","FB"
"afb94ddba5ddf88c","2021-02-01","FB"
"a2f08ab160d4f69d","2021-02-01","FB"
"af64b1a70b912203","2021-02-01","FB"
"53da49f48b690810","2021-02-01","FB"
